Step,AgentID,ticketsCount,campaign_impact_factor,hasWonImpactFactor,prize_wins,new_order_count
4,6,,2.5,1.6,"['2000 GEL', '1000 GEL', '1000 GEL', '3500 GEL', '1000 GEL', '3000 GEL', '3500 GEL']",4
4,7,,3.0,2.2,"['1000 GEL', '3000 GEL', '3500 GEL', '1000 GEL', '3000 GEL', '1500 GEL', '3500 GEL', '2000 GEL', '3500 GEL', '1500 GEL', '2000 GEL']",4
4,8,,1.6000000000000003,1.0,"['3000 GEL', '1500 GEL', '3500 GEL', '3000 GEL', '3500 GEL']",2
4,9,,1.6000000000000003,1.0,"['3000 GEL', 'BMW M4', '2000 GEL', '3000 GEL', '3000 GEL']",1
4,10,,1.5000000000000002,1.0,"['1000 GEL', '1500 GEL', '2000 GEL', '3500 GEL', '1000 GEL', '1000 GEL', '1000 GEL', '3500 GEL', '3000 GEL', 'CyberTruck', '1500 GEL']",1
5,1,,2.3000000000000003,1.0,"['1500 GEL', '2000 GEL', '3000 GEL', '1500 GEL', '2000 GEL', '3500 GEL']",5
5,2,,2.3000000000000003,1.0,"['1500 GEL', '1500 GEL', '3000 GEL', '3500 GEL', '1500 GEL', '2000 GEL', '1000 GEL', '2000 GEL', '1000 GEL']",5
5,3,,2.8000000000000003,1.5,"['1500 GEL', '2000 GEL', '1000 GEL', '1500 GEL', '3500 GEL', '2000 GEL', '1500 GEL', '2000 GEL', '1500 GEL']",5
5,4,,3.0,1.7,"['3500 GEL', '3000 GEL', '3500 GEL', '3000 GEL', '1000 GEL', '1500 GEL']",5
5,5,,1.3,1.0,"['2000 GEL', '3000 GEL', '1000 GEL', '1000 GEL']",0
5,6,,2.9,1.6,"['2000 GEL', '1000 GEL', '1000 GEL', '3500 GEL', '1000 GEL', '3000 GEL', '3500 GEL']",5
5,7,,3.0,2.2,"['1000 GEL', '3000 GEL', '3500 GEL', '1000 GEL', '3000 GEL', '1500 GEL', '3500 GEL', '2000 GEL', '3500 GEL', '1500 GEL', '2000 GEL']",5
5,8,,1.8000000000000003,1.0,"['3000 GEL', '1500 GEL', '3500 GEL', '3000 GEL', '3500 GEL']",3
5,9,,1.7000000000000004,1.0,"['3000 GEL', 'BMW M4', '2000 GEL', '3000 GEL', '3000 GEL']",1
5,10,,1.6000000000000003,1.0,"['1000 GEL', '1500 GEL', '2000 GEL', '3500 GEL', '1000 GEL', '1000 GEL', '1000 GEL', '3500 GEL', '3000 GEL', 'CyberTruck', '1500 GEL']",1
6,1,,2.8000000000000003,1.0,"['1500 GEL', '2000 GEL', '3000 GEL', '1500 GEL', '2000 GEL', '3500 GEL']",6
6,2,,2.8000000000000003,1.0,"['1500 GEL', '1500 GEL', '3000 GEL', '3500 GEL', '1500 GEL', '2000 GEL', '1000 GEL', '2000 GEL', '1000 GEL']",6
6,3,,3.0,1.5,"['1500 GEL', '2000 GEL', '1000 GEL', '1500 GEL', '3500 GEL', '2000 GEL', '1500 GEL', '2000 GEL', '1500 GEL']",6
6,4,,3.0,1.7,"['3500 GEL', '3000 GEL', '3500 GEL', '3000 GEL', '1000 GEL', '1500 GEL']",6
6,5,,1.3,1.0,"['2000 GEL', '3000 GEL', '1000 GEL', '1000 GEL']",0
6,6,,3.0,1.6,"['2000 GEL', '1000 GEL', '1000 GEL', '3500 GEL', '1000 GEL', '3000 GEL', '3500 GEL']",6
6,7,,3.0,2.2,"['1000 GEL', '3000 GEL', '3500 GEL', '1000 GEL', '3000 GEL', '1500 GEL', '3500 GEL', '2000 GEL', '3500 GEL', '1500 GEL', '2000 GEL']",6
6,8,,2.1000000000000005,1.0,"['3000 GEL', '1500 GEL', '3500 GEL', '3000 GEL', '3500 GEL']",3
